noteId	raterParticipantId	createdAtMillis	version	agree	disagree	helpful	notHelpful	helpfulnessLevel	helpfulOther	helpfulInformative	helpfulClear	helpfulEmpathetic	helpfulGoodSources	helpfulUniqueContext	helpfulAddressesClaim	helpfulImportantContext	helpfulUnbiasedLanguage	notHelpfulOther	notHelpfulIncorrect	notHelpfulSourcesMissingOrUnreliable	notHelpfulOpinionSpeculationOrBias	notHelpfulMissingKeyPoints	notHelpfulOutdated	notHelpfulHardToUnderstand	notHelpfulArgumentativeOrBiased	notHelpfulOffTopic	notHelpfulSpamHarassmentOrAbuse	notHelpfulIrrelevantSources	notHelpfulOpinionSpeculation	notHelpfulNoteNotNeeded	ratedOnTweetId
1404642335347068931	081BA86EC3FABDE0D3989F2149227ABCADA385EC8748FEFCB30D7ABDF389FD8B	1623777787555	1	1	0	1	0		0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
1404647497742655489	081BA86EC3FABDE0D3989F2149227ABCADA385EC8748FEFCB30D7ABDF389FD8B	1623777743819	1	1	0	1	0		0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
1411059639840653312	081BA86EC3FABDE0D3989F2149227ABCADA385EC8748FEFCB30D7ABDF389FD8B	1625342352955	2	0	0	0	0	HELPFUL	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
1354844480659222530	65E2BA458175A3948E14CD8F2D9D4F810D55323A0F6B9FE4BF7066E932C9CA6D	1611885205075	1	1	0	1	0		0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
1354850505164550145	65E2BA458175A3948E14CD8F2D9D4F810D55323A0F6B9FE4BF7066E932C9CA6D	1611874299790	1	0	0	0	1		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1
1354852976301649928	65E2BA458175A3948E14CD8F2D9D4F810D55323A0F6B9FE4BF7066E932C9CA6D	1611885234686	1	1	0	1	0		0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
1354855105779142664	65E2BA458175A3948E14CD8F2D9D4F810D55323A0F6B9FE4BF7066E932C9CA6D	1611874267491	1	0	1	0	1		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1
1354855204005453826	65E2BA458175A3948E14CD8F2D9D4F810D55323A0F6B9FE4BF7066E932C9CA6D	1611874250816	1	0	0	0	1		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1
1354855483631423493	65E2BA458175A3948E14CD8F2D9D4F810D55323A0F6B9FE4BF7066E932C9CA6D	1611873069578	1	0	0	0	1		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1
1354856852564144128	65E2BA458175A3948E14CD8F2D9D4F810D55323A0F6B9FE4BF7066E932C9CA6D	1611874410632	1	0	0	0	1		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1
